dataset,family,policy,channels,parameter,k_total,reference_channel,n,combined_recall,reference_recall,paired_delta,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,resolved_positive,unit
2wikimultihopqa,union_round_robin,L+QK:U0,L+QK,,4,L,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+QK:U0,L+QK,,4,QK,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+QK:U0,L+QK,,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+QK:U0,L+QK,,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,2,L,4,0.625,0.5416666666666666,0.08333333333333333,-0.2916666666666667,0.41666666666666663,2,1,1,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,2,QK,4,0.625,0.625,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,2,S,4,0.625,0.5416666666666666,0.08333333333333333,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,4,L,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,4,QK,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,4,S,4,0.9166666666666666,0.7083333333333334,0.20833333333333331,0.0,0.41666666666666663,2,2,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S+QK:U0,L+S+QK,,8,S,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,2,L,4,0.41666666666666663,0.5416666666666666,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,2,S,4,0.41666666666666663,0.5416666666666666,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,4,L,4,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,4,S,4,0.9166666666666666,0.7083333333333334,0.20833333333333331,0.0,0.41666666666666663,2,2,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,L+S:U0,L+S,,8,S,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,2,QK,4,0.625,0.625,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,2,S,4,0.625,0.5416666666666666,0.08333333333333333,0.0,0.25,1,3,0,False,held_out_identity
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,4,QK,4,0.875,0.9166666666666666,-0.04166666666666666,-0.375,0.25,1,2,1,False,held_out_identity
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,4,S,4,0.875,0.7083333333333334,0.16666666666666669,0.0,0.5,1,3,0,False,held_out_identity
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
2wikimultihopqa,union_round_robin,S+QK:U0,S+QK,,8,S,4,1.0,0.9166666666666666,0.08333333333333334,0.0,0.25,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,2,E,4,0.625,0.625,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,2,QK,4,0.625,0.375,0.25,0.0,0.75,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,E+QK:fusion,E+QK,template=equal,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,2,E,4,0.75,0.625,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,2,QK,4,0.75,0.375,0.375,0.0,0.75,2,2,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,2,S,4,0.75,0.5,0.25,-0.25,0.5,3,0,1,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S+QK:fusion,E+S+QK,template=equal,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,2,E,4,0.75,0.625,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,2,S,4,0.75,0.5,0.25,0.0,0.5,2,2,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,E+S:fusion,E+S,template=equal,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,2,E,4,0.75,0.625,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,2,L,4,0.75,0.875,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,2,QK,4,0.75,0.375,0.375,0.0,0.75,2,2,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+QK:fusion,L+E+QK,template=equal,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,E,4,0.75,0.625,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,L,4,0.75,0.875,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,QK,4,0.75,0.375,0.375,0.0,0.75,2,2,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,2,S,4,0.75,0.5,0.25,-0.25,0.5,3,0,1,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S+QK:fusion,L+E+S+QK,template=equal,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,2,E,4,0.75,0.625,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,2,L,4,0.75,0.875,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,2,S,4,0.75,0.5,0.25,0.0,0.5,2,2,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E+S:fusion,L+E+S,template=equal,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E:fusion,L+E,template=equal,2,E,4,0.75,0.625,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E:fusion,L+E,template=equal,2,L,4,0.75,0.875,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,normalized_fusion,L+E:fusion,L+E,template=equal,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E:fusion,L+E,template=equal,4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E:fusion,L+E,template=equal,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+E:fusion,L+E,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,2,L,4,0.5,0.875,-0.375,-0.5,-0.125,0,1,3,False,held_out_identity
hotpotqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,2,QK,4,0.5,0.375,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+QK:fusion,L+QK,template=equal,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,2,L,4,0.75,0.875,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,2,QK,4,0.75,0.375,0.375,0.0,0.75,2,2,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,2,S,4,0.75,0.5,0.25,-0.25,0.5,3,0,1,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S+QK:fusion,L+S+QK,template=equal,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S:fusion,L+S,template=equal,2,L,4,0.75,0.875,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,normalized_fusion,L+S:fusion,L+S,template=equal,2,S,4,0.75,0.5,0.25,0.0,0.5,2,2,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S:fusion,L+S,template=equal,4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S:fusion,L+S,template=equal,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S:fusion,L+S,template=equal,8,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,L+S:fusion,L+S,template=equal,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,2,QK,4,0.5,0.375,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,2,S,4,0.5,0.5,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,normalized_fusion,S+QK:fusion,S+QK,template=equal,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,E+QK:E2_QK2,E+QK,"{""E"": 2, ""QK"": 2}",4,E,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,E+QK:E2_QK2,E+QK,"{""E"": 2, ""QK"": 2}",4,QK,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,E+S+QK:E1_S1_QK2,E+S+QK,"{""E"": 1, ""QK"": 2, ""S"": 1}",4,E,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,E+S+QK:E1_S1_QK2,E+S+QK,"{""E"": 1, ""QK"": 2, ""S"": 1}",4,QK,4,0.875,0.875,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,E+S+QK:E1_S1_QK2,E+S+QK,"{""E"": 1, ""QK"": 2, ""S"": 1}",4,S,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,E+S:E2_S2,E+S,"{""E"": 2, ""S"": 2}",4,E,4,0.875,0.875,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,E+S:E2_S2,E+S,"{""E"": 2, ""S"": 2}",4,S,4,0.875,0.875,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,L+E+QK:L1_E1_QK2,L+E+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,E,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,L+E+QK:L1_E1_QK2,L+E+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,L,4,0.875,1.0,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,reserved_slots,L+E+QK:L1_E1_QK2,L+E+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,QK,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,L+E+S+QK:L1_E1_QK2_lex2,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,E,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,L+E+S+QK:L1_E1_QK2_lex2,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,L,4,0.875,1.0,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,reserved_slots,L+E+S+QK:L1_E1_QK2_lex2,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,QK,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,L+E+S+QK:L1_E1_QK2_lex2,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 2}",4,S,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,L+E+S+QK:L1_E1_S1_QK1,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 1, ""S"": 1}",4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,reserved_slots,L+E+S+QK:L1_E1_S1_QK1,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 1, ""S"": 1}",4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,L+E+S+QK:L1_E1_S1_QK1,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 1, ""S"": 1}",4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,reserved_slots,L+E+S+QK:L1_E1_S1_QK1,L+E+S+QK,"{""E"": 1, ""L"": 1, ""QK"": 1, ""S"": 1}",4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,reserved_slots,L+E+S:L1_E1_S2,L+E+S,"{""E"": 1, ""L"": 1, ""S"": 2}",4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,reserved_slots,L+E+S:L1_E1_S2,L+E+S,"{""E"": 1, ""L"": 1, ""S"": 2}",4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,L+E+S:L1_E1_S2,L+E+S,"{""E"": 1, ""L"": 1, ""S"": 2}",4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,reserved_slots,L+QK:L2_QK2,L+QK,"{""L"": 2, ""QK"": 2}",4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,L+QK:L2_QK2,L+QK,"{""L"": 2, ""QK"": 2}",4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,reserved_slots,L+S+QK:L1_S1_QK2,L+S+QK,"{""L"": 1, ""QK"": 2, ""S"": 1}",4,L,4,0.875,1.0,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,reserved_slots,L+S+QK:L1_S1_QK2,L+S+QK,"{""L"": 1, ""QK"": 2, ""S"": 1}",4,QK,4,0.875,0.875,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,L+S+QK:L1_S1_QK2,L+S+QK,"{""L"": 1, ""QK"": 2, ""S"": 1}",4,S,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,L+S+QK:L1_S1_QK2_lex1,L+S+QK,"{""L"": 1, ""QK"": 2, ""S"": 1}",4,L,4,0.875,1.0,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,reserved_slots,L+S+QK:L1_S1_QK2_lex1,L+S+QK,"{""L"": 1, ""QK"": 2, ""S"": 1}",4,QK,4,0.875,0.875,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,L+S+QK:L1_S1_QK2_lex1,L+S+QK,"{""L"": 1, ""QK"": 2, ""S"": 1}",4,S,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,reserved_slots,L+S:L2_S2,L+S,"{""L"": 2, ""S"": 2}",4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,reserved_slots,L+S:L2_S2,L+S,"{""L"": 2, ""S"": 2}",4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,E+QK:RRF,E+QK,c=10,2,E,4,0.5,0.625,-0.125,-0.5,0.25,1,1,2,False,held_out_identity
hotpotqa,rrf,E+QK:RRF,E+QK,c=10,2,QK,4,0.5,0.375,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,E+QK:RRF,E+QK,c=10,4,E,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,rrf,E+QK:RRF,E+QK,c=10,4,QK,4,0.875,0.875,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,rrf,E+QK:RRF,E+QK,c=10,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,E+QK:RRF,E+QK,c=10,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,2,E,4,0.375,0.625,-0.25,-0.5,0.0,0,2,2,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,2,QK,4,0.375,0.375,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,2,S,4,0.375,0.5,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,8,QK,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,E+S+QK:RRF,E+S+QK,c=10,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,E+S:RRF,E+S,c=10,2,E,4,0.625,0.625,0.0,-0.375,0.375,1,2,1,False,held_out_identity
hotpotqa,rrf,E+S:RRF,E+S,c=10,2,S,4,0.625,0.5,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,E+S:RRF,E+S,c=10,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,E+S:RRF,E+S,c=10,4,S,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,E+S:RRF,E+S,c=10,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,E+S:RRF,E+S,c=10,8,S,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,L+E+QK:RRF,L+E+QK,c=10,2,E,4,0.75,0.625,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,L+E+QK:RRF,L+E+QK,c=10,2,L,4,0.75,0.875,-0.125,-0.375,0.0,0,3,1,False,held_out_identity
hotpotqa,rrf,L+E+QK:RRF,L+E+QK,c=10,2,QK,4,0.75,0.375,0.375,0.0,0.75,2,2,0,False,held_out_identity
hotpotqa,rrf,L+E+QK:RRF,L+E+QK,c=10,4,E,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,L+E+QK:RRF,L+E+QK,c=10,4,L,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
hotpotqa,rrf,L+E+QK:RRF,L+E+QK,c=10,4,QK,4,1.0,0.875,0.125,0.0,0.375,1,3,0,False,held_out_identity
hotpotqa,rrf,L+E+QK:RRF,L+E+QK,c=10,8,E,4,1.0,1.0,0.0,0.0,0.0,0,4,0,False,held_out_identity
